age,default,housing,contact,month,day_of_week,campaign,previous,cons.price.idx,cons.conf.idx,nr.employed,y
56,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
59,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
24,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
25,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
25,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
29,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
46,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
50,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
30,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
59,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,unknown,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,unknown,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
55,unknown,unknown,telephone,may,mon,1,0,93.994,-36.4,5191,0
46,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
59,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
49,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
52,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
58,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
32,no,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
38,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,no,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
44,unknown,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
