age,housing,contact,month,day_of_week,campaign,previous,cons.price.idx,cons.conf.idx,nr.employed,y
56,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
59,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
24,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
25,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
25,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
29,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
46,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
50,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
30,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
37,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
59,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
55,unknown,telephone,may,mon,1,0,93.994,-36.4,5191,0
46,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
59,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
49,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
54,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
34,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
52,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
41,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
56,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
58,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
32,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
38,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
44,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
42,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
57,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
40,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
35,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,yes,telephone,may,mon,2,0,93.994,-36.4,5191,0
54,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
39,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
60,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
53,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,no,telephone,may,mon,2,0,93.994,-36.4,5191,0
55,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
50,no,telephone,may,mon,1,0,93.994,-36.4,5191,0
45,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
55,yes,telephone,may,mon,1,0,93.994,-36.4,5191,0
