name,industry,subindustry,industries/0,industries/1,tags/0,tags/1,highlight_black,highlight_latinx,highlight_women,batch_season,batch_year,first_loc,region,top_acq_pub
Segment,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,SaaS,B2B,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
GoCardless,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Payments,Fintech,FALSE,FALSE,FALSE,S,11,"London, England, United Kingdom",United Kingdom,1
Sift,B2B Software and Services,B2B Software and Services -> Security,B2B Software and Services,Security,Machine Learning,SaaS,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Apollo,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,GraphQL,Developer Tools,FALSE,FALSE,FALSE,S,11,Remote,United States of America,1
Codecademy,Education,Education,Education,,Education,,FALSE,FALSE,FALSE,S,11,"New York, NY, USA",United States of America,1
HackerRank,B2B Software and Services,B2B Software and Services -> Recruiting and Talent,B2B Software and Services,Recruiting and Talent,Developer Tools,Recruiting,FALSE,FALSE,FALSE,S,11,Remote,United States of America,1
OneSignal,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",SaaS,Developer Tools,FALSE,FALSE,FALSE,S,11,"San Mateo, CA, USA",United States of America,1
Vidyard,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Video,Sales,FALSE,FALSE,FALSE,S,11,"Kitchener, ON, Canada",Canada,1
Science Exchange,Healthcare,Healthcare -> Healthcare Services,Healthcare,Healthcare Services,Enterprise,SaaS,FALSE,FALSE,TRUE,S,11,Remote,United States of America,1
Clerky,B2B Software and Services,B2B Software and Services -> Legal,B2B Software and Services,Legal,Legal,LegalTech,FALSE,FALSE,FALSE,S,11,Remote,United States of America,0
AgileMD,Healthcare,Healthcare -> Healthcare IT,Healthcare,Healthcare IT,Healthcare,Machine Learning,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Quartzy,Healthcare,Healthcare -> Healthcare IT,Healthcare,Healthcare IT,SaaS,E-commerce,FALSE,FALSE,FALSE,S,11,"Hayward, CA, USA",United States of America,0
Streak,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,SaaS,,FALSE,FALSE,FALSE,S,11,Remote,Remote,0
Zeus,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate and Construction,Housing and Real Estate,Proptech,Real Estate,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
imgix,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Video,SaaS,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Videopixie,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Video,Marketplace,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
MixRank,B2B Software and Services,B2B Software and Services,B2B Software and Services,,SaaS,B2B,FALSE,FALSE,FALSE,S,11,Remote,United States of America,0
LeadGenius,B2B Software and Services,B2B Software and Services -> Sales,B2B Software and Services,Sales,B2B,Marketing,FALSE,FALSE,FALSE,S,11,"Berkeley, CA, USA",United States of America,0
Pagelever,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Analytics,Social,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Firebase,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,,,FALSE,FALSE,FALSE,S,11,"Mountain View, CA, USA",United States of America,1
Realm,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Citus Data,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Databases,Big Data,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Cryptoseal,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Next-gen Network Security,Cloud Workload Protection,FALSE,FALSE,FALSE,S,11,"Mountain View, CA, USA",United States of America,1
Debteye,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Fintech,,FALSE,FALSE,FALSE,S,11,"Chicago, IL, USA",United States of America,1
Aisle50,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,Grocery,,FALSE,FALSE,FALSE,S,11,"Chicago, IL, USA",United States of America,1
Genius,Consumer,Consumer -> Content,Consumer,Content,Music,,FALSE,FALSE,FALSE,S,11,"NY, USA",United States of America,1
Stypi,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Collaboration,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Clutch,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",Developer Tools,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Freshplum,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,Analytics,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Automatic,Consumer,Consumer -> Consumer Electronics,Consumer,Consumer Electronics,Automotive,IoT,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Parse,B2B Software and Services,"B2B Software and Services -> Engineering, Product and Design",B2B Software and Services,"Engineering, Product and Design",,,FALSE,FALSE,FALSE,S,11,"Menlo Park, CA, USA",United States of America,1
Perfect Audience,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Advertising,SaaS,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
TapEngage,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Advertising,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
GlassMap,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Compose,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Databases,DevOps,FALSE,FALSE,FALSE,S,11,"San Mateo, CA, USA",United States of America,1
Launchpad Toys,Consumer,Consumer -> Gaming,Consumer,Gaming,Education,Gaming,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Caviar,Consumer,Consumer -> Food and Beverage,Consumer,Food and Beverage,Food Tech,Delivery,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Embark,Consumer,Consumer -> Transportation Services,Consumer,Transportation Services,Transportation,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Verbling,Education,Education,Education,,Education,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Fobo,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,Location-based,E-Commerce,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,1
Zenbox,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,SaaS,Productivity,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Dubjoy,B2B Software and Services,B2B Software and Services -> Marketing,B2B Software and Services,Marketing,Video,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Quad,Education,Education,Education,,Education,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
PhoneSys,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,CRM,Sales,FALSE,FALSE,FALSE,S,11,"Mountain View, CA, USA",United States of America,0
Proxino,B2B Software and Services,B2B Software and Services -> Infrastructure,B2B Software and Services,Infrastructure,Developer Tools,,FALSE,FALSE,FALSE,S,11,"Palo Alto, CA, USA",United States of America,0
PayDragon,Consumer,Consumer -> Food and Beverage,Consumer,Food and Beverage,,,FALSE,FALSE,FALSE,S,11,"Los Angeles, CA, USA",United States of America,0
Zigfu,Consumer,Consumer -> Gaming,Consumer,Gaming,Augmented Reality,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Picplum,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Hungry Labs,Consumer,Consumer -> Social,Consumer,Social,,,FALSE,FALSE,FALSE,S,11,,Unspecified,0
Draft,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,SaaS,Documents,FALSE,FALSE,FALSE,S,11,Remote,United States of America,0
Rentobo,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate and Construction,Housing and Real Estate,Real Estate,Marketplace,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Snapjoy,Consumer,Consumer -> Content,Consumer,Content,,,FALSE,FALSE,FALSE,S,11,"Boulder, CO, USA",United States of America,0
Ridejoy,Consumer,Consumer -> Transportation Services,Consumer,Transportation Services,Marketplace,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Leaky,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Insurance,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Vapor,Consumer,Consumer -> Social,Consumer,Social,Advertising,Video,FALSE,FALSE,FALSE,S,11,"NY, USA",United States of America,0
Kicksend,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,,,FALSE,FALSE,FALSE,S,11,"Mountain View, CA, USA",United States of America,0
Opez,Consumer,Consumer -> Home and Personal,Consumer,Home and Personal,Marketplace,Reviews,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Everyme,Consumer,Consumer -> Social,Consumer,Social,Social Network,,FALSE,FALSE,FALSE,S,11,"Mountain View, CA, USA",United States of America,0
Interstate,B2B Software and Services,B2B Software and Services -> Productivity,B2B Software and Services,Productivity,Productivity,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
MarketBrief,Financial Technology,Financial Technology -> Consumer Finance,Financial Technology,Consumer Finance,Analytics,,FALSE,FALSE,FALSE,S,11,"San Francisco, CA, USA",United States of America,0
Poll Everywhere,B2B Software and Services,B2B Software and Services -> Analytics,B2B Software and Services,Analytics,SaaS,,FALSE,FALSE,FALSE,S,8,Remote,United States of America,0
