name,subindustry,batch,Location1,Year,status,success
Segment,B2B Software and Services -> Analytics,S11,"San Francisco, CA, USA",11,Acquired,Exited
GoCardless,Financial Technology -> Consumer Finance,S11,"London, England, United Kingdom",11,Active,Ongoing
Sift,B2B Software and Services -> Security,S11,"San Francisco, CA, USA",11,Active,Ongoing
Apollo,B2B Software and Services -> Infrastructure,S11,Remote,11,Active,Ongoing
Codecademy,Education,S11,"New York, NY, USA",11,Acquired,Exited
HackerRank,B2B Software and Services -> Recruiting and Talent,S11,Remote,11,Active,Ongoing
OneSignal,"B2B Software and Services -> Engineering, Product and Design",S11,"San Mateo, CA, USA",11,Active,Ongoing
Vidyard,B2B Software and Services -> Marketing,S11,"Kitchener, ON, Canada",11,Active,Ongoing
Science Exchange,Healthcare -> Healthcare Services,S11,Remote,11,Active,Ongoing
Clerky,B2B Software and Services -> Legal,S11,Remote,11,Active,Ongoing
AgileMD,Healthcare -> Healthcare IT,S11,"San Francisco, CA, USA",11,Active,Ongoing
Quartzy,Healthcare -> Healthcare IT,S11,"Hayward, CA, USA",11,Active,Ongoing
Streak,B2B Software and Services -> Sales,S11,Remote,11,Active,Ongoing
Zeus,Real Estate and Construction -> Housing and Real Estate,S11,"San Francisco, CA, USA",11,Active,Ongoing
imgix,B2B Software and Services -> Infrastructure,S11,"San Francisco, CA, USA",11,Active,Ongoing
Videopixie,B2B Software and Services -> Marketing,S11,"San Francisco, CA, USA",11,Active,Ongoing
MixRank,B2B Software and Services,S11,Remote,11,Active,Ongoing
LeadGenius,B2B Software and Services -> Sales,S11,"Berkeley, CA, USA",11,Active,Ongoing
Pagelever,B2B Software and Services -> Analytics,S11,"San Francisco, CA, USA",11,Acquired,Exited
Firebase,B2B Software and Services -> Infrastructure,S11,"Mountain View, CA, USA",11,Acquired,Exited
Realm,B2B Software and Services -> Infrastructure,S11,"San Francisco, CA, USA",11,Acquired,Exited
Citus Data,B2B Software and Services -> Infrastructure,S11,"San Francisco, CA, USA",11,Acquired,Exited
Cryptoseal,B2B Software and Services -> Infrastructure,S11,"Mountain View, CA, USA",11,Acquired,Exited
Debteye,Financial Technology -> Consumer Finance,S11,"Chicago, IL, USA",11,Acquired,Exited
Aisle50,Consumer -> Home and Personal,S11,"Chicago, IL, USA",11,Acquired,Exited
Genius,Consumer -> Content,S11,"NY, USA",11,Acquired,Exited
Stypi,B2B Software and Services -> Productivity,S11,"San Francisco, CA, USA",11,Acquired,Exited
